system:index,area_km2,class,territory,year,.geo
8_7_0,94.71732415509085,1,1507805.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_8_0,487.49843444523793,1,1508159.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_9_0,343.7592365661962,1,1508357.0,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_0,645.9872603779377,1,1500602.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1_0,57.85448282885709,1,1500859.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2_0,485.61854612299254,1,1501725.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_3_0,279.4302876388,1,1504455.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_4_0,413.1402095945362,1,1505486.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_5_0,356.9168599464133,1,1505650.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_6_0,651.5298359473808,1,1505908.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_7_0,99.14500562719806,1,1507805.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_8_0,520.1489495061538,1,1508159.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_9_0,367.58673416373364,1,1508357.0,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_0,732.5698216784693,1,1500602.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_1_0,58.968825644958166,1,1500859.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_2_0,489.73053294977547,1,1501725.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_3_0,280.0916176091977,1,1504455.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_4_0,645.7566678412865,1,1505486.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_5_0,362.19385742724563,1,1505650.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_6_0,661.4189119459165,1,1505908.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_7_0,99.46632827398763,1,1507805.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_8_0,526.3654660222069,1,1508159.0,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
